num_exercicio,disciplina,assunto,Simulado,num_exercicio_eng,Frente
1,Matemática,Equação do 1º grau,5º simulado,1,Matemática A
2,Matemática,Logaritmos,5º simulado,2,Matemática A
3,Matemática,Razão e Proporção,5º simulado,3,Matemática C
4,Linguagens,Funções da Linguagem,5º simulado,4,Linguagens
5,Ciências Humanas,Geografia - DIT,5º simulado,,Geografia Humana
6,Matemática,Regra de 3,5º simulado,6,Matemática C
7,Linguagens,Figuras de Linguagem,5º simulado,7,Linguagens
8,Linguagens,Figuras de Linguagem,5º simulado,8,Linguagens
9,Linguagens,Funções da Linguagem,5º simulado,9,Linguagens
10,Ciências Humanas,Geografia - Neoliberalismo,5º simulado,,Geografia Humana
11,Matemática,Triângulo Retângulo,5º simulado,11,Matemática B
12,Ciências Humanas,Geografia - Estados-Nação,5º simulado,,Geografia Humana
13,Ciências Humanas,Geografia - Rochas,5º simulado,,Geografia Física
14,Matemática,Porcentagem,5º simulado,14,Matemática C
15,Linguagens,Tipos Textuais,5º simulado,15,Linguagens
16,Linguagens,Tipos Textuais,5º simulado,16,Linguagens
17,Ciências Humanas,História - Guerra Fria,5º simulado,,História Geral
18,Ciências Humanas,História - Primeiro Reinado,5º simulado,,História do Brasil
19,Linguagens,Tipos Textuais,5º simulado,19,Linguagens
20,Linguagens,Interpretação de Texto,5º simulado,20,Linguagens
21,Linguagens,Interpretação de Texto,5º simulado,21,Linguagens
22,Matemática,Regra de 3,5º simulado,22,Matemática C
23,Matemática,Função do 2º grau,5º simulado,23,Matemática A
24,Ciências Humanas,Atualidades - Migração,5º simulado,,Atualidades
25,Ciências Humanas,História - Reforma Protestante,5º simulado,,História Geral
26,Matemática,Porcentagem,5º simulado,26,Matemática C
27,Matemática,Probabilidade,5º simulado,27,Matemática A
28,Linguagens,Interpretação de Texto,5º simulado,28,Linguagens
29,Linguagens,Variantes Linguísticas,5º simulado,29,Linguagens
30,Matemática,Função Exponencial,5º simulado,30,Matemática A
31,Linguagens,Interpretação de Texto,5º simulado,31,Linguagens
32,Ciências Humanas,Geografia - Industrialização,5º simulado,,Geografia Humana
33,Ciências Humanas,Geografia - Industrialização,5º simulado,,Geografia Humana
34,Ciências Humanas,História - Nacionalismo,5º simulado,,História Geral
35,Matemática,Regra de 3,5º simulado,35,Matemática C
