num_exercicio,disciplina,assunto,Simulado,num_exercicio_eng,Frente,,,
1,Língua Portuguesa,Intertextualidade,6º simulado,1,Linguagens,,Atualidades,3
2,Língua Portuguesa,Variantes Linguísticas,6º simulado,2,Linguagens,,Biologia,5
3,Língua Portuguesa,Conjunção,6º simulado,3,Linguagens,,Física,4
4,Língua Portuguesa,Ortografia,6º simulado,4,Linguagens,,Geografia Física,4
5,Língua Portuguesa,Pronome,6º simulado,5,Linguagens,,Geografia Humana,5
6,Língua Portuguesa,Pronome,6º simulado,6,Linguagens,,História do Brasil,6
7,Língua Portuguesa,Pronome,6º simulado,7,Linguagens,,História Geral,3
8,Língua Portuguesa,Referenciação,6º simulado,8,Linguagens,,Linguagens,20
9,Língua Portuguesa,Processo de substituição,6º simulado,9,Linguagens,,Matemática A,6
10,Língua Portuguesa,Polissemia,6º simulado,10,Linguagens,,Matemática B,7
11,Língua Portuguesa,Interpretação de Texto,6º simulado,11,Linguagens,,Matemática C,6
12,Língua Portuguesa,Interpretação de Texto,6º simulado,12,Linguagens,,Química,6
13,Língua Portuguesa,Interpretação de Texto,6º simulado,13,Linguagens,,,0
14,Língua Portuguesa,Figuras de Linguagem,6º simulado,14,Linguagens,,,
15,Língua Portuguesa,Figuras de Linguagem,6º simulado,15,Linguagens,,,
16,Ciências Humanas,História - Grécia,6º simulado,,História Geral,,,
17,Ciências Humanas,Geografia - Clima,6º simulado,,Geografia Física,,,
18,Ciências Humanas,História - Período Joanino,6º simulado,,História do Brasil,,,
19,Ciências Humanas,Geografia - EUA,6º simulado,,Geografia Humana,,,
20,Ciências Humanas,Geografia - Espaço Geográfico,6º simulado,,Geografia Física,,,
21,Ciências Humanas,História - Mineração,6º simulado,,História do Brasil,,,
22,Ciências Humanas,Geografia - Meio Ambiente,6º simulado,,Geografia Física,,,
23,Ciências Humanas,Geografia - Migração,6º simulado,,Geografia Humana,,,
24,Ciências Humanas,História - Revolução Pernambucana,6º simulado,,História do Brasil,,,
25,Ciências Humanas,Geografia - Amazônia,6º simulado,,Geografia Humana,,,
26,Ciências Humanas,Geografia - Demografia,6º simulado,,Geografia Humana,,,
27,Ciências Humanas,Atualidades - Doenças Endêmicas,6º simulado,,Atualidades,,,
28,Ciências Humanas,História - 1ª Guerra Mundial,6º simulado,,História Geral,,,
29,Ciências Humanas,História - Período Joanino,6º simulado,,História do Brasil,,,
30,Ciências Humanas,Geografia - Exportação,6º simulado,,Geografia Humana,,,
31,Matemática,Circunferência,6º simulado,31,Matemática B,,,
32,Matemática,Juros,6º simulado,32,Matemática C,,,
33,Matemática,Análise Combinatória,6º simulado,33,Matemática A,,,
34,Matemática,Circunferência,6º simulado,34,Matemática B,,,
35,Matemática,Razão e Proporção,6º simulado,35,Matemática C,,,
36,Matemática,Probabilidade,6º simulado,36,Matemática A,,,
37,Matemática,Circunferência,6º simulado,37,Matemática B,,,
38,Matemática,Potenciação,6º simulado,38,Matemática C,,,
39,Matemática,Função Logarítmica,6º simulado,39,Matemática A,,,
40,Matemática,Reta,6º simulado,40,Matemática B,,,
41,Matemática,Aritmética,6º simulado,41,Matemática C,,,
42,Matemática,Função do 1º grau,6º simulado,42,Matemática A,,,
43,Matemática,Reta,6º simulado,43,Matemática B,,,
44,Matemática,Porcentagem,6º simulado,44,Matemática C,,,
45,Matemática,Função do 2º grau,6º simulado,45,Matemática A,,,
46,Inglês,Interpretação de Texto,6º simulado,46,Linguagens,,,
47,Inglês,Interpretação de Texto,6º simulado,47,Matemática B,,,
48,Inglês,Interpretação de Texto,6º simulado,48,Matemática C,,,
49,Inglês,Interpretação de Texto,6º simulado,49,Linguagens,,,
50,Inglês,Interpretação de Texto,6º simulado,50,História do Brasil,,,
51,Inglês,Interpretação de Texto,6º simulado,51,História Geral,,,
52,Inglês,Interpretação de Texto,6º simulado,52,Linguagens,,,
53,Inglês,Interpretação de Texto,6º simulado,53,Linguagens,,,
54,Inglês,Interpretação de Texto,6º simulado,54,Atualidades,,,
55,Inglês,Discurso Indireto,6º simulado,55,Geografia Física,,,
56,Inglês,Sentido Literal,6º simulado,56,Matemática B,,,
57,Inglês,Tempos Verbais,6º simulado,57,Linguagens,,,
58,Inglês,Interpretação de Texto,6º simulado,58,História do Brasil,,,
59,Inglês,Interpretação de Texto,6º simulado,59,Atualidades,,,
60,Inglês,Interpretação de Texto,6º simulado,60,Matemática A,,,
61,Ciências da Natureza,Física - Ondas,6º simulado,16,Física,,,
62,Ciências da Natureza,Biologia - Seres Vivos,6º simulado,17,Biologia,,,
63,Ciências da Natureza,Química - Configuração Eletrônica,6º simulado,18,Química,,,
64,Ciências da Natureza,Física - Refração,6º simulado,19,Física,,,
65,Ciências da Natureza,Biologia - Verminose,6º simulado,20,Biologia,,,
66,Ciências da Natureza,Física - Termodinâmica,6º simulado,21,Física,,,
67,Ciências da Natureza,Biologia - Verminose,6º simulado,22,Biologia,,,
68,Ciências da Natureza,Química - Estequiometria,6º simulado,23,Química,,,
69,Ciências da Natureza,Física - Energia,6º simulado,24,Física,,,
70,Ciências da Natureza,Química - Composto Orgânico,6º simulado,25,Química,,,
71,Ciências da Natureza,Biologia - Reprodução,6º simulado,26,Biologia,,,
72,Ciências da Natureza,Química - Eletroquímica,6º simulado,27,Química,,,
73,Ciências da Natureza,Química - Transição Eletrônica,6º simulado,28,Química,,,
74,Ciências da Natureza,Química - Cinética,6º simulado,29,Química,,,
75,Ciências da Natureza,Biologia - Seres Vivos,6º simulado,30,Biologia,,,
